,Package,Description,Tests
44,hbsag australian antigen quantitative elfa ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test is helpful for the diagnosis of acute, recent and chronic HBV infection. It also determines the status of chronic Hepatitis B infection.
Read More","Test(s) Included (1)
HBsAg / Australia Antigen
1 Test Included"
45,chlamydia trachomatis and neisseria gonorrhoeae pcr qualitative ,"About
Sample
ENDOCERVICAL SWAB/THROAT SWAB/URINE/VAGINAL SWAB
Gender
Both
Age group
7 years & above
Chlamydia and gonorrhoea are the two most common sexually transmitted diseases. Both of these diseases are caused by bacteria and can be transmitted through vaginal, oral, or anal intercourse with an infected partner.
The two different bacterial pathogens infect the urethra, anus, or throat through sexual contact. Once inside these organs, they can attach to the host tissue and cause an inflammatory response.
Specifications of Chlamydia Tracomatis and Neisseria Gonorrhoeae PCR Qualitative Test
Read More","Test(s) Included (1)
Chlamydia Tracomatis And Neisseria Gonorrhoeae, Pcr Qualitative
1 Test Included"
46,hbsag confirmatory test ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The HbsAg confirmatory test helps to confirm the presence of Hepatitis B surface antigen in the blood. The HbsAg confirmatory test is done: • To confirm the presence of Hepatitis B surface antigen
Read More","Test(s) Included (3)
HBsAg CONFIRMATORY TEST
3 Tests Included"
47,25 hydroxy vitamin d d2d3 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Vitamin D - 25 Hydroxy (D2+D3) Test in Chennai
Test Overview
Sample Type Blood
Reports Delivery     10 Hrs
Price in Chennai     ₹1900
Number of Tests Included     1
In this fast-paced lifestyle, one aspect often overlooked is the crucial role of vitamins, particularly Vitamin D, in maintaining optimum health. Vitamin D, also known as the 'Sunshine Vitamin', is vital for bone health and immunity. The body produces vitamin D when exposed to sunlight; however, with indoor-centric lifestyles and intense pollution limiting sun exposure, many people may face a deficiency. That's where the Vitamin D - 25 Hydroxy (D2+D3) Test comes into play.





















Read More","Test(s) Included (1)
Vitamin D - 25 Hydroxy (D2+D3)
1 Test Included"
48,immune deficiency panel i cd4 cd8 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Important Note: As per guidelines, the laboratory report of the test needs to be collected from the registered centre only. Details for the same will be shared once the test reports have been generated.
Read More","Test(s) Included (7)
Immune Deficiency Panel - I, (CD4, CD8)
7 Tests Included"
49,immune deficiency panel ii cd3 cd4 cd8 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (7)
Immune Deficiency Panel - Ii, (CD3, CD4, CD8)
7 Tests Included"
50,ana by line immunoassay immunoblot ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Autoimmune conditions are becoming increasingly common these days, and their diagnosis and treatment can be a complex process. One of the most common laboratory tests conducted for autoimmune conditions is the ANA (Antinuclear Antibody) test. It is a type of blood test that detects the presence of autoantibodies in the body that attack its cells and tissues. The ANA by immunoblot panel helps diagnose autoimmune disorders such as rheumatoid arthritis, lupus, scleroderma, and Sjogren's syndrome.

Read More","Test(s) Included (24)
Ana By Immunoblot
24 Tests Included"
51,immunofixation electrophoresis ife serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (1)
Immuno Fixation Electrophoresis - IFE (Serum)
1 Test Included"
52,immunoglobulin igg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test determines the level of Immunoglobulin G antibodies in the blood. The immune system produces antibodies to protect from bacteria, viruses and allergens. Sometimes, our body may mistakenly treat healthy organs and tissues like foreign invaders and make antibodies against them. This is called an autoimmune disease.
Read More","Test(s) Included (1)
Immunoglobulin - IgG
1 Test Included"
53,immunoglobulin iga ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Immunoglobulin Iga is a laboratory test that measures the levels of IgA antibodies present in the blood. This test is conducted to detect and diagnose conditions associated with low or high levels of IgA antibodies. IgA antibodies are produced by the immune system and help to protect the body from infections caused by bacteria and viruses. The Immunoglobulin Iga test is a simple blood test that helps in detecting any underlying medical condition.
Symptoms

Read More","Test(s) Included (1)
Immunoglobulin - Iga
1 Test Included"
54,immunoglobulin igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Immunoglobulins are proteins in your body, which fight against bacteria, viruses, and other toxic invaders that can attack your immune system. The plasma cells in your body create these antibodies, which activate at different stages of the immune response.
There are four major types of immunoglobulin antibodies:
Immunoglobulin A (IgA)
Immunoglobulin G (IgG)
Immunoglobulin M (IgM)


Read More","Test(s) Included (1)
Immunoglobulin - IgM
1 Test Included"
55,immunoglobulin panel igg igm and iga ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test measures the level of types of antibodies in the blood. Our immune system produces antibodies to protect us from bacteria, viruses, and allergens. Sometimes, our body may mistakenly treat healthy organs and tissues like foreign invaders and make antibodies against healthy organs and tissue. This is called as an autoimmune disease. The different types of antibodies are Immunoglobulin A (IgA), Immunoglobulin G (IgG), Immunoglobulin M (IgM), Immunoglobulin E (IgE), Immunoglobulin D (IgD).
Read More","Test(s) Included (3)
Immunoglobulin Panel [IgG, IgM & IgA] - Serum
3 Tests Included"
56,flow cytometry cd4 count ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The CD4 count test is also known as the CD4 lymphocyte count test. This test helps to measure the strength of the immune system in case one has diagnosed with HIV infection. It also helps to monitor the effectiveness of undergoing treatment for HIV. The CD4 count test is done: • In case one is diagnosed with HIV infection • To monitor undergoing antiretroviral therapy • After every 6 to 12 months post-antiretroviral therapy
Read More","Test(s) Included (5)
CD4 Count
5 Tests Included"
57,anti ds dna qualitative ifa ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Anti Ds-DNA antibodies, or Anti-Double Stranded DNA antibodies, are essentially anti-nuclear antibodies that are produced when your immune system fails to function correctly.
Under normal circumstances, antibodies are your first line of defense to ward off infections. But in this case, the Anti Ds-DNA antibodies cannot differentiate between 'self' and 'foreign' components in the body. As a result, they end up attacking your healthy cells, and significantly damaging the tissues and organs.


Read More","Test(s) Included (3)
Anti Ds-Dna By- IFA Qualitative
3 Tests Included"
58,anti ds dna feia ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (1)
Anti- Ds Dna
1 Test Included"
59,apollo womens health advance ,"About
Sample
BLOOD
Gender
Female
Age group
7 years & above
Curated by Dr Srikala Dodda Reddy, Apollo Women's Health - Advance comprises tests such as CBC, random blood sugar, HbA1c, serum electrolytes, TSH, urea and creatinine, HBsAg, APTT, blood group, Rh type, LFT, vitamin D3, and CA 125. These tests can facilitate the diagnosis of most gynaecological conditions in women. The package is recommended for every woman aged 18 years and above.
Maintaining and monitoring vital health indicators is crucial for women as they age. A routine test might appear excessive and cumbersome, however they can add years to their lives. That’s why doctors recommend annual gynaecological assessments such as Apollo Women's Health - Advance Test to ensure timely diagnosis of potential ailments.

Read More","Test(s) Included (60)
Blood Studies (Anemia) (37)
Diabetes (1)
Heart (Cardiac) (2)
Kidney (3)
Vitamin (1)
Liver (10)
Others (6)"
